id,name,code,active,type,default_account_id,payment_debit_account_id,payment_credit_account_id,suspense_account_id,restrict_mode_hash_table,sequence,invoice_reference_type,invoice_reference_model,currency_id,company_id,refund_sequence,sequence_override_regex,at_least_one_inbound,at_least_one_outbound,profit_account_id,loss_account_id,bank_account_id,bank_statements_source,sale_activity_type_id,sale_activity_user_id,sale_activity_note,alias_id,secure_sequence_id,show_on_dashboard,color,message_main_attachment_id,create_uid,create_date,write_uid,write_date,default_debit_account_id,default_credit_account_id,post_at
1,Customer Invoices,INV,t,sale,88,,,,,5,invoice,flectra,,1,t,,f,f,,,,undefined,,,,,,t,11,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
2,Vendor Bills,BILL,t,purchase,91,,,,,6,invoice,flectra,,1,t,,f,f,,,,undefined,,,,,,t,11,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
3,Miscellaneous Operations,MISC,t,general,,,,,,7,invoice,flectra,,1,f,,f,f,,,,undefined,,,,,,t,0,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
4,Exchange Difference,EXCH,t,general,,,,,,9,invoice,flectra,,1,f,,f,f,,,,undefined,,,,,,f,0,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
5,Cash Basis Taxes,CABA,t,general,,,,,,10,invoice,flectra,,1,f,,f,f,,,,undefined,,,,,,f,0,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
6,Cash,CSH1,t,cash,162,163,164,159,,10,invoice,flectra,,1,f,,t,t,161,160,,undefined,,,,,,t,0,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
8,Customer Invoices,INV,t,sale,256,,,,,5,invoice,flectra,,2,t,,f,f,,,,undefined,,,,,,t,11,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
9,Vendor Bills,BILL,t,purchase,259,,,,,6,invoice,flectra,,2,t,,f,f,,,,undefined,,,,,,t,11,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
10,Miscellaneous Operations,MISC,t,general,,,,,,7,invoice,flectra,,2,f,,f,f,,,,undefined,,,,,,t,0,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
11,Exchange Difference,EXCH,t,general,,,,,,9,invoice,flectra,,2,f,,f,f,,,,undefined,,,,,,f,0,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
12,Cash Basis Taxes,CABA,t,general,,,,,,10,invoice,flectra,,2,f,,f,f,,,,undefined,,,,,,f,0,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
14,Bank,BNK1,t,bank,333,334,335,327,,10,invoice,flectra,,2,f,,t,t,,,,undefined,,,,,,t,0,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
13,Cash,CSH1,t,cash,330,331,332,327,,10,invoice,flectra,,2,f,,t,t,329,328,,undefined,,,,,,t,0,,1,2021-08-04 22:56:30.77256,1,2021-08-04 22:56:30.77256,,,pay_val
15,Expense,EXP,t,purchase,,,,,,99,invoice,flectra,,1,t,,f,f,,,,undefined,,,,,,t,0,,1,2021-08-04 23:03:08.810487,1,2021-08-04 23:03:08.810487,,,pay_val
7,174009876340,BNK1,t,bank,165,166,167,159,,10,invoice,flectra,,1,f,,t,t,,,9,undefined,,,,,,t,0,,1,2021-08-04 22:56:30.77256,2,2021-08-13 13:51:44.158853,,,pay_val
16,Inventory Valuation,STJ,t,general,,,,,,10,invoice,flectra,,2,f,,f,f,,,,undefined,,,,,,f,0,,1,2021-08-13 14:02:45.035996,1,2021-08-13 14:02:45.035996,,,pay_val
17,Inventory Valuation,STJ,t,general,,,,,,10,invoice,flectra,,1,f,,f,f,,,,undefined,,,,,,f,0,,1,2021-08-13 14:02:45.035996,1,2021-08-13 14:02:45.035996,,,pay_val
